Part	Value	Type	Manuf. PN	Qty	Manuf.	Vendor PN	3.3V Analog	3.3V Digital	1.8V Analog	1.8V Digital	1.2V Digital	Package	Pins	Dimensions in mm	 Price ea 	 Price 1k 
U1	AD9914	DDS	AD9914BCPZ	1	Analog Devices	AD9914BCPZ-ND	640	20	178	433	0	LFCSP_VQ	89	12.10x12.10x0.90	 $184.11 	 $166.52 
U2	ADCLK905	SiGe Buffer	ADCLK905BCPZ	1	Analog Devices	ADCLK905BCPZ-R7CT-ND		103				LFCSP-VQ	17	3x3x0.90	 $10.81 	 $5.66 
U3	ICE40LP8K	FPGA 7680LUTS	ICE40LP8K-CM81	1	Lattice			16.2			15.7	81-VFBGA	81	4x4x0.9	 $8.30 	 $6.60 
U4	PIC32MX250F128C	32b MCU 128K 	PIC32MX250F128C	1	Microchip	CY7C68053-56BAXI		25				36-VTLA	37	5x5x0.9mm	 $5.01 	 $3.33 
U5	TPS63021	"1.8-5VIN, 4A"	TPS63021	1	Texas Instruments		*	*				14-VSON	14	3x4x0.9		 $1.90 
U6	TPS62151	"3-17V, 1A Buck"	TPS62151RGTR	1	Texas Instruments				*	*		16-QFN	16	3x3x0.9		 $0.90 
U7	TPS62122	"15V, 75mA Buck"	TPS62122DRVR	1	Texas Instruments						*	6-SON	6	2x2x0.9		 $0.65 
Cff_1_2	39pF	Cap	CC0805JRNP09BN390	1	Yageo America			ESR	0Ohm	VDC	50V	805	2			 $0.01 
Cin_1_2	10uF	Cap	GRM21BR61A106KE19L	1	MuRata			ESR	2mOhm	VDC	10V	805	2			 $0.03 
Cout_1_2	4.7uF	Cap	GRM188R60J475ME19D	1	MuRata			ESR	1mOhm	VDC	6.3V	603	2			 $0.02 
L1_1_2	22uH	L	NLFV25T-220K-PF	1	TDK			DCR	1Ohm	IDC	0.105A	NLCV25	2			 $0.11 
Rfbb_1_2	360KOhm	Resistance	RR1220P-364-D	1	Susumu Co Ltd			Tolerance	0.50%	Power	0.1W	805	2			 $0.01 
Rfbt_1_2	178KOhm	Resistance	ERJ-6ENF1783V	1	Panasonic			Tolerance	1%	Power	0.125W	805	2			 $0.01 
Cin_1_8	10uF	Cap	GRM21BR61A106KE19L	1	MuRata			ESR	2mOhm	VDC	10V	805	2			 $0.03 
Cout_1_8	22uF	Cap	C2012X5R0J226M	1	TDK			ESR	1.8mOhm	VDC	6.3V	805	2			 $0.06 
Css_1_8	220pF	Cap	GRM033R71E221KA01D	1	MuRata			ESR	0Ohm	VDC	25V	201	2			 $0.01 
L1_1_8	2.2uH	L	SDR0403-2R2ML	1	Bourns			DCR	0.047Ohm	IDC	2.6A	SDR0403	2			 $0.17 
Rpg_1_8	100KOhm	Resistance	ERJ-6ENF1003V	1	Panasonic			Tolerance	1%	Power	0.125W	805	2			 $0.01 
Cin_3_3	10uF	Cap	GRM21BR61A106KE19L	2	MuRata			ESR	2mOhm	VDC	10V	805	4			 $0.03 
Cout_3_3	10uF	Cap	GRM188R60J106ME47D	3	MuRata			ESR	9mOhm	VDC	6.3V	603	6			 $0.03 
L1_3_3	1uH	L	SRN3015-1R0Y	1	Bourns			DCR	0.048Ohm	IDC	2.35A	SRN3015	2			 $0.13 
CvinA_3_3	100nF	Cap	08053C104KAT2A	1	AVX			ESR	0.28Ohm	VDC	25V	805	2			 $0.01 
																
																
																
																
																
																
																
																
																
																
																
																
J1	USB Micro-A												6			
																
																
																
																
																
																
																
																
																
																
																
																
Total						Max Draw in mW:	2112	541.86	320.445	779.4	18.84	Total Pins: 	302		 $208.23 	 $186.23 
						Total Power Budget in mW:	3772.545									
																
						Sum current draw in mA: 	640	164.2	178.025	433	15.7					
