Part,Value,Type,Manuf. PN,Vendor,Vendor PN,Voltage,Package,Pins,Dimensions in mm,Price ea,Price 1k
U1,AD9914,DDS,AD9914BCPZ,Digikey,AD9914BCPZ-ND,"3.3V, 1.8V",LFCSP_VQ,89,12.10x12.10x0.90,184.11,166.524
U2,ADCLK905,SiGe Buffer,ADCLK905BCPZ,Digikey,ADCLK905BCPZ-R7CT-ND,3.3V,LFCSP-VQ,17,3x3x0.90,10.81,5.65745
U3,ICE40LP8K,FPGA 7680LUTS,ICE40LP8K-CM81,,,1.2V,81-VFBGA,81,4x4x,8.3,6.6
U4,PIC32MX250F128C,32b MCU 128K ,PIC32MX250F128C,,CY7C68053-56BAXI,3.3V,36-VTLA,37,5x5x0.9mm,5.01,3.33
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J1,USB Micro-A,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,,,,,230,,208.23,182.11145
